SERIE_INITIAL_DATA : 2017 12 31 00 00 00
TIME_UNITS : HOURS
hours reservoir_outflow
<BeginTimeSerie>
0 -44.80788
1 -44.80788
2 -44.80788
3 -44.80788
4 -44.80788
5 -44.80788
6 -44.80788
7 -44.80788
8 -44.80788
9 -44.80788
10 -44.80788
11 -44.80788
12 -44.80788
13 -44.80788
14 -44.80788
15 -44.80788
16 -44.80788
17 -44.80788
18 -44.80788
19 -44.80788
20 -44.80788
21 -44.80788
22 -44.80788
23 -44.80788
24 -44.80788
<EndTimeSerie>
